Time (s),ECG (V),PPG_Red,PPG_IR
0.000000,0.109673,344.656247,261.880579
0.008000,0.141900,340.622459,259.486659
0.016000,0.161286,338.713611,256.699811
0.024000,0.241904,340.576635,256.448785
0.032000,0.277404,345.199009,262.557468
0.040000,0.209677,343.459900,262.034200
0.048000,0.164509,340.349275,261.597748
0.056000,0.293518,344.061007,259.613583
0.064000,0.325795,342.000503,264.703977
0.072000,0.322573,340.997252,262.762233
0.080000,0.354800,337.463301,267.424659
0.088000,0.509641,340.367444,257.704903
0.096000,0.190291,346.166929,263.990336
0.104000,0.264514,337.723187,256.441252
0.112000,0.290295,338.188749,261.369710
0.120000,0.167732,339.562818,258.089830
0.128000,0.148345,339.279369,264.222424
0.136000,0.238682,336.960487,258.872206
0.144000,0.358022,338.479249,258.478355
0.152000,0.154841,332.843506,264.150552
0.160000,0.390300,336.480611,266.597550
0.168000,0.358022,339.529531,260.931112
0.176000,0.554809,333.741936,259.724747
0.184000,0.303186,340.446707,258.106366
0.192000,0.761263,332.297602,262.985095
0.200000,1.451627,336.717360,259.891019
0.208000,1.887095,336.776473,264.513203
0.216000,1.193559,334.538778,260.161079
0.224000,0.351577,339.044377,256.948232
0.232000,0.216123,336.233311,259.812949
0.240000,0.296741,336.829417,263.517082
0.248000,0.454804,338.786906,261.504603
0.256000,0.509641,343.150418,261.896213
0.264000,0.396745,338.995658,254.051201
0.272000,0.770932,340.302172,258.858432
0.280000,0.635477,335.831833,261.424040
0.288000,0.812877,337.685608,262.026971
0.296000,0.912882,334.812752,267.322564
0.304000,0.790318,337.079831,261.228258
0.312000,1.064500,335.164399,261.107004
0.320000,1.048386,338.962914,263.829777
0.328000,1.309677,339.817999,260.779784
0.336000,1.490300,339.789581,265.947405
0.344000,1.219341,339.319700,264.273871
0.352000,1.648363,338.288175,265.845135
0.360000,1.461295,342.105166,261.292505
0.368000,1.435463,340.858623,267.482738
0.376000,1.648363,336.936111,265.899752
0.384000,1.490300,334.859498,262.554985
0.392000,1.606468,331.251011,265.257744
0.400000,1.899986,335.818889,264.048075
0.408000,1.741923,339.169128,257.298396
0.416000,1.683864,337.974676,266.800826
0.424000,1.690309,335.633885,261.003332
0.432000,1.677418,335.072553,263.992489
0.440000,1.706473,335.899915,266.674468
0.448000,1.548409,336.532009,264.594666
0.456000,1.503241,342.409889,264.471954
0.464000,1.587082,336.483325,265.026083
0.472000,1.580636,335.433433,262.704367
0.480000,1.564523,339.478547,262.253672
0.488000,1.554855,348.647568,260.625561
0.496000,1.683864,339.611603,266.590928
0.504000,1.699977,338.599056,263.767591
0.512000,1.770977,335.865162,264.550388
0.520000,1.806477,339.282237,260.803714
0.528000,1.803204,339.523206,263.559078
0.536000,1.674195,343.626630,266.331389
0.544000,2.106441,338.392640,259.856124
0.552000,1.809700,334.372684,272.807696
0.560000,1.899986,340.142882,264.649012
0.568000,2.235500,336.018257,266.334016
0.576000,2.012932,337.694131,272.126936
0.584000,2.177441,335.300346,261.855926
0.592000,2.103218,340.182827,264.775213
0.600000,2.274223,342.146701,265.069258
0.608000,2.183886,338.152722,261.852428
0.616000,2.203223,341.706854,264.069526
0.624000,2.190332,341.504742,265.991642
0.632000,2.035491,335.797247,260.459611
0.640000,1.977432,341.537646,265.491269
0.648000,1.980655,335.928576,265.226261
0.656000,2.041936,346.358328,263.145916
0.664000,1.899986,335.592347,264.055061
0.672000,2.029046,333.837894,266.342623
0.680000,1.903209,338.010154,263.463622
0.688000,2.038714,336.814223,260.813791
0.696000,1.729032,335.702215,264.913437
0.704000,1.806477,338.972364,265.273328
0.712000,1.612914,342.413325,261.774902
0.720000,1.480632,340.493997,261.052084
0.728000,1.425795,342.350975,255.024457
0.736000,1.403236,340.900780,261.467538
0.744000,1.490300,338.760408,261.382700
0.752000,1.254841,337.126823,258.472774
0.760000,1.341955,337.885208,253.547875
0.768000,1.148391,338.464400,260.883716
0.776000,1.290341,350.099113,260.612934
0.784000,1.141946,337.924338,262.204020
0.792000,1.290341,340.933212,262.514751
0.800000,1.180618,340.170771,266.101475
0.808000,1.658082,337.037702,257.495102
0.816000,2.500014,338.759016,259.078667
0.824000,2.303227,344.312263,259.644801
0.832000,1.425795,341.959708,258.195944
0.840000,0.896768,337.052456,265.688699
0.848000,0.987105,339.581627,262.104205
0.856000,1.109668,338.822823,263.932000
0.864000,0.951604,340.481428,259.561758
0.872000,1.029000,333.514679,253.609516
0.880000,0.787095,338.485111,264.819809
0.888000,0.829041,339.599062,258.372674
0.896000,0.996773,339.736279,261.335095
0.904000,0.974163,339.446354,263.778404
0.912000,0.987105,333.124589,257.956925
0.920000,1.087109,329.595283,263.896943
0.928000,1.012886,337.896437,265.216647
0.936000,0.961273,332.360808,260.451404
0.944000,1.100000,338.882593,260.078664
0.952000,1.109668,337.138707,257.930810
0.960000,1.032273,339.734832,260.900255
0.968000,1.012886,341.932345,260.661150
0.976000,1.132227,338.901344,261.637947
0.984000,1.203227,329.703414,260.246982
0.992000,1.119336,335.989581,261.299262
1.000000,1.058054,334.643286,262.645904
1.008000,1.064500,334.710547,256.477397
1.016000,1.029000,340.108976,260.884528
1.024000,1.012886,340.405832,262.424107
1.032000,0.961273,333.341219,256.376082
1.040000,1.029000,333.603375,262.492135
1.048000,0.935491,337.461049,263.626167
1.056000,0.851600,330.799499,261.375808
1.064000,0.877432,341.288412,258.737380
1.072000,0.870936,336.472651,255.707103
1.080000,0.725814,331.246942,262.392208
1.088000,0.735482,337.698400,261.590275
1.096000,0.829041,335.489680,258.855490
1.104000,0.838709,330.718871,266.358107
1.112000,0.719318,333.496800,267.598750
1.120000,0.764486,333.514416,262.498101
1.128000,0.729036,333.813709,268.015526
1.136000,0.877432,336.492364,262.860199
1.144000,0.696759,337.562709,262.517799
1.152000,0.841932,333.898801,263.450793
1.160000,0.690314,330.871952,263.688568
1.168000,0.909659,341.134937,262.067771
1.176000,0.819322,340.457530,263.757597
1.184000,0.677423,334.234382,258.285912
1.192000,0.709650,333.205454,262.233385
1.200000,0.867713,338.635452,263.251127
1.208000,0.793541,333.528781,267.018252
1.216000,0.735482,331.203781,266.564571
1.224000,0.796764,340.984814,265.171931
1.232000,0.829041,337.099495,263.608724
1.240000,0.799986,336.800872,260.968874
1.248000,0.867713,337.773677,264.556741
1.256000,0.774205,334.732545,261.460927
1.264000,0.806432,338.144670,269.868516
1.272000,0.819322,342.940722,259.281098
1.280000,0.764486,345.290389,261.302952
1.288000,0.870936,335.740450,259.925417
1.296000,0.867713,342.557423,266.839422
1.304000,0.941936,343.017290,264.740542
1.312000,1.022554,335.934480,268.352861
1.320000,0.906436,338.653545,262.340982
1.328000,0.929046,339.202538,267.420633
1.336000,0.741927,339.221414,264.225718
1.344000,0.770932,337.153381,269.753626
1.352000,0.645145,336.602907,266.686053
1.360000,0.612868,340.245864,269.123612
1.368000,0.722591,342.543049,263.182592
1.376000,0.725814,340.431300,261.771354
1.384000,0.690314,340.626440,269.163587
1.392000,0.780650,335.290095,260.905001
1.400000,0.651591,339.724297,262.243865
1.408000,0.796764,335.893370,262.422721
1.416000,0.780650,337.612904,260.477817
1.424000,0.738705,340.597971,263.157488
1.432000,0.870936,338.182129,266.377168
1.440000,1.329014,340.961935,267.438148
1.448000,1.961318,342.592384,263.762001
1.456000,1.954823,339.696382,265.870794
1.464000,1.009664,337.513147,262.978570
1.472000,0.577418,343.547490,261.584552
1.480000,0.545141,342.489499,261.394592
1.488000,0.580641,338.213035,267.021482
1.496000,0.638700,338.958373,261.914706
1.504000,0.587086,338.911606,261.765838
1.512000,0.696759,342.828836,257.729754
1.520000,0.480636,339.046720,260.667586
1.528000,0.638700,343.954769,262.440456
1.536000,0.741927,342.347455,257.169589
1.544000,0.790318,345.698531,260.025997
1.552000,0.774205,341.276729,261.722407
1.560000,0.793541,339.335989,262.373718
1.568000,0.867713,341.175626,255.617790
1.576000,1.100000,340.637379,262.020825
1.584000,0.819322,341.804828,262.396699
1.592000,0.987105,340.264544,260.334177
1.600000,0.835486,341.577986,264.471509
1.608000,0.948382,347.194127,260.976628
1.616000,0.948382,338.911950,257.623928
1.624000,1.070945,341.718648,263.135049
1.632000,1.064500,341.253115,263.943784
1.640000,1.100000,335.363571,261.634054
1.648000,1.106445,340.462507,262.135431
1.656000,1.135500,343.350190,259.191799
1.664000,1.193559,336.147486,262.554629
1.672000,1.061277,340.075627,259.472346
1.680000,1.048386,333.064140,264.510815
1.688000,0.996773,334.694023,264.461778
1.696000,1.009664,342.018466,260.768872
1.704000,0.961273,342.427759,261.057234
1.712000,1.064500,335.629833,259.302761
1.720000,0.903214,338.166658,264.356810
1.728000,1.074168,331.029900,259.974818
1.736000,0.938714,337.002085,260.735967
1.744000,1.019332,333.062275,259.207616
1.752000,1.070945,335.495981,255.679494
1.760000,1.100000,337.456735,259.523282
1.768000,1.022554,332.159229,261.274996
1.776000,1.190336,337.138638,260.600134
1.784000,1.058054,337.389830,260.891542
1.792000,0.987105,333.255682,256.049136
1.800000,1.090332,335.437496,257.077105
1.808000,1.090332,338.527539,260.601385
1.816000,1.012886,341.958489,264.239527
1.824000,1.083886,335.118515,264.436047
1.832000,1.145168,336.491963,267.683865
1.840000,0.899991,337.117288,261.985240
1.848000,0.977386,339.205520,258.925883
1.856000,0.912882,332.163189,262.158306
1.864000,0.883877,330.855232,264.141044
1.872000,0.945159,337.859793,267.265283
1.880000,0.945159,337.820183,262.825020
1.888000,0.980659,340.041726,262.852575
1.896000,0.896768,338.766788,266.197014
1.904000,0.883877,333.922365,263.510486
1.912000,0.864491,336.951982,261.270440
1.920000,1.003218,335.462802,266.859528
1.928000,0.987105,332.230314,263.758455
1.936000,0.996773,336.247848,263.359554
1.944000,1.138723,335.867339,265.308320
1.952000,1.038718,335.303185,262.354041
1.960000,1.064500,333.231381,262.826147
1.968000,1.080613,336.834397,265.294601
1.976000,1.148391,335.773770,259.395319
1.984000,1.070945,336.927434,264.422870
1.992000,0.909659,338.867393,266.544741
2.000000,0.974163,342.557564,263.318659
2.008000,0.880655,333.514060,260.979843
2.016000,0.870936,336.271806,263.286947
2.024000,0.922550,336.246778,259.626529
2.032000,1.012886,337.886229,261.523869
2.040000,0.877432,335.598475,270.380565
2.048000,1.109668,334.236766,266.752352
2.056000,1.048386,339.702003,267.859886
2.064000,1.170950,337.447324,257.972816
2.072000,1.077391,339.395458,260.447896
2.080000,1.419350,338.880073,263.981296
2.088000,2.096773,342.955332,261.532933
2.096000,2.277446,335.410069,264.214466
2.104000,1.638695,338.036095,263.195979
2.112000,0.903214,339.003797,262.337877
2.120000,0.999995,343.212872,265.422147
2.128000,1.048386,333.445102,270.304632
2.136000,0.722591,335.072759,264.173409
2.144000,0.841932,342.578157,265.255591
2.152000,0.974163,341.977841,263.043963
2.160000,0.816100,342.333506,264.703551
2.168000,0.887100,338.676878,268.661176
2.176000,0.906436,334.149326,266.333778
2.184000,0.941936,330.409981,269.816728
2.192000,0.964495,341.891532,264.997512
2.200000,1.064500,340.813901,263.210301
2.208000,0.990327,343.667169,267.176318
2.216000,1.190336,340.371579,264.009266
2.224000,0.951604,337.653928,267.333425
2.232000,1.051609,335.705342,267.040236
2.240000,0.941936,341.836783,262.659548
2.248000,1.138723,339.184225,259.976912
2.256000,1.122559,340.245659,266.428682
2.264000,1.270954,338.504892,259.934715
2.272000,1.087109,336.131158,260.753231
2.280000,1.222564,342.152526,263.604193
2.288000,1.538691,339.882710,261.378141
2.296000,1.316123,340.861713,260.354326
2.304000,1.348400,339.409997,263.574684
2.312000,1.229009,339.313911,262.070123
2.320000,1.332236,339.214460,261.153838
2.328000,1.132227,342.441910,263.872109
2.336000,1.270954,341.296145,259.465714
2.344000,1.241950,341.276946,262.587026
2.352000,1.293564,340.577209,263.929945
2.360000,1.251618,339.172236,257.956437
2.368000,0.951604,344.377506,260.007644
2.376000,0.912882,342.118683,263.953310
2.384000,0.719318,340.655817,259.658869
2.392000,0.880655,343.209323,261.350822
2.400000,1.193559,338.749892,263.233134
2.408000,1.151614,337.832881,262.078012
2.416000,0.938714,339.458058,260.410605
2.424000,0.835486,343.312360,260.958206
2.432000,0.887100,344.134701,259.533232
2.440000,0.854823,334.681205,262.336175
2.448000,0.964495,334.828240,263.403117
2.456000,0.916104,340.739910,252.770499
2.464000,0.829041,341.984873,265.631319
2.472000,0.709650,340.568445,260.335526
2.480000,0.893545,337.521262,259.779003
2.488000,0.990327,337.358449,258.019655
2.496000,0.848377,334.446022,259.935621
2.504000,0.958050,339.036601,258.941250
2.512000,0.893545,334.233224,261.433294
2.520000,0.893545,332.049405,260.345677
2.528000,0.877432,340.624917,264.379335
2.536000,0.867713,335.140342,262.289371
2.544000,0.883877,339.298242,256.427807
2.552000,1.080613,331.736058,260.034895
2.560000,0.929046,328.829054,261.669167
2.568000,1.112891,336.765812,262.935785
2.576000,1.103223,338.997633,256.920414
2.584000,0.974163,334.426561,263.655190
2.592000,0.987105,334.134386,260.551217
2.600000,0.961273,335.693149,258.100337
